2017-11-18  23:02:21.699 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017341664
2017-11-18  23:02:21.753 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017341753
2017-11-18  23:02:21.755 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017341755
2017-11-18  23:02:21.767 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017341767
2017-11-18  23:02:21.870 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017341870
2017-11-18  23:02:21.870 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017341870
2017-11-18  23:02:21.870 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017341870
2017-11-18  23:02:21.894 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017341894
2017-11-18  23:02:21.995 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017341995
2017-11-18  23:02:21.995 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017341995
2017-11-18  23:02:21.995 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017341995
2017-11-18  23:02:21.996 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017341996
2017-11-18  23:02:22.097 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342097
2017-11-18  23:02:22.133 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342133
2017-11-18  23:02:22.133 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342133
2017-11-18  23:02:22.176 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017342176
2017-11-18  23:02:22.278 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342278
2017-11-18  23:02:22.278 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342278
2017-11-18  23:02:22.278 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342278
2017-11-18  23:02:22.278 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017342278
2017-11-18  23:02:22.378 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342378
2017-11-18  23:02:22.378 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342378
2017-11-18  23:02:22.378 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342378
2017-11-18  23:02:22.378 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017342378
2017-11-18  23:02:22.479 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342479
2017-11-18  23:02:22.479 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342479
2017-11-18  23:02:22.479 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342479
2017-11-18  23:02:22.479 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017342479
2017-11-18  23:02:22.579 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342579
2017-11-18  23:02:22.579 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342579
2017-11-18  23:02:22.579 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342579
2017-11-18  23:02:22.579 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017342579
2017-11-18  23:02:22.679 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342679
2017-11-18  23:02:22.679 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342679
2017-11-18  23:02:22.679 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342679
2017-11-18  23:02:22.679 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017342679
2017-11-18  23:02:22.779 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342779
2017-11-18  23:02:22.780 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342780
2017-11-18  23:02:22.781 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342781
2017-11-18  23:02:22.781 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017342781
2017-11-18  23:02:22.883 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342883
2017-11-18  23:02:22.883 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342883
2017-11-18  23:02:22.883 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342883
2017-11-18  23:02:22.883 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017342883
2017-11-18  23:02:22.983 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017342983
2017-11-18  23:02:22.983 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017342983
2017-11-18  23:02:22.983 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017342983
