2017-11-18  14:52:05.656 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987925656
2017-11-18  14:52:05.722 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987925722
2017-11-18  14:52:05.722 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987925722
2017-11-18  14:52:05.722 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987925722
2017-11-18  14:52:05.823 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987925823
2017-11-18  14:52:05.823 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987925823
2017-11-18  14:52:05.823 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987925823
2017-11-18  14:52:05.823 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987925823
2017-11-18  14:52:05.923 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987925923
2017-11-18  14:52:05.923 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987925923
2017-11-18  14:52:05.923 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987925923
2017-11-18  14:52:05.923 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987925923
2017-11-18  14:52:06.043 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987926043
2017-11-18  14:52:06.043 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987926043
2017-11-18  14:52:06.043 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987926043
2017-11-18  14:52:06.043 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987926043
2017-11-18  14:52:06.143 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1510987926143
2017-11-18  14:52:06.143 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1510987926143
2017-11-18  14:52:06.143 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1510987926143
2017-11-18  14:52:06.143 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1510987926143
